Pid,Ppid,TokenIsElevated,Name,CommandLine,Exe,TokenInfo,Hash,Authenticode,Username,WorkingSetSize,FlowId,ClientId,Fqdn
4128,868,true,AMPWatchDog.exe,"""C:\Program Files (x86)\Dell\KACE\AMPWatchDog.exe""",C:\Program Files (x86)\Dell\KACE\AMPWatchDog.exe,"{
 ""IsElevated"": true,
 ""Groups"": [
  ""S-1-5-32-544"",
  ""S-1-1-0"",
  ""S-1-5-11"",
  ""S-1-16-16384""
 ],
 ""SID"": ""S-1-5-18"",
 ""Username"": ""NT AUTHORITY\\SYSTEM"",
 ""ProfileDir"": ""C:\\WINDOWS\\system32\\config\\systemprofile"",
 ""PrimaryGroup"": ""S-1-5-18""
}","{
 ""MD5"": ""3feb17e276942bf8dcaf2482716028c0"",
 ""SHA1"": ""c5ff6d107287163c64dd0447c9ef9527953ad642"",
 ""SHA256"": ""7c38a470b4837a28317e409a98a691f1afb279940213c136d072810bf808b9bb""
}","{
 ""Filename"": ""C:\\Program Files (x86)\\Dell\\KACE\\AMPWatchDog.exe"",
 ""ProgramName"": ""Quest KACE Agent Installer"",
 ""PublisherLink"": null,
 ""MoreInfoLink"": """",
 ""SerialNumber"": ""505cce2283a9feb25686039a8c4e00ed"",
 ""IssuerName"": ""C=US, O=Symantec Corporation, OU=Symantec Trust Network, CN=Symantec Class 3 SHA256 Code Signing CA"",
 ""SubjectName"": ""C=US, ST=California, L=Aliso Viejo, O=Quest Software Inc, OU=IT, CN=Quest Software Inc"",
 ""Timestamp"": null,
 ""Trusted"": ""untrusted (A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.)"",
 ""_ExtraInfo"": null
}",NT AUTHORITY\SYSTEM,21688320,F.CJF43J8QIDK4O.H,C.ea6a16162f67d44f,LACRARU-A1.nete.dnd.ca
3372,868,true,KSchedulerSvc.exe,"""C:\Program Files (x86)\Dell\KACE\KSchedulerSvc.exe""",C:\Program Files (x86)\Dell\KACE\KSchedulerSvc.exe,"{
 ""IsElevated"": true,
 ""Groups"": [
  ""S-1-5-32-544"",
  ""S-1-1-0"",
  ""S-1-5-11"",
  ""S-1-16-16384""
 ],
 ""SID"": ""S-1-5-18"",
 ""Username"": ""NT AUTHORITY\\SYSTEM"",
 ""ProfileDir"": ""C:\\WINDOWS\\system32\\config\\systemprofile"",
 ""PrimaryGroup"": ""S-1-5-18""
}","{
 ""MD5"": ""9f040764ae69595166b04226760ff822"",
 ""SHA1"": ""859089d9bf10b5782da3708c1d33ac58124c4a47"",
 ""SHA256"": ""11a269a64191b31f9080c55e4e61f9ea86c891e2883001784318e4a7e160c4ab""
}","{
 ""Filename"": ""C:\\Program Files (x86)\\Dell\\KACE\\KSchedulerSvc.exe"",
 ""ProgramName"": ""Quest KACE Agent Installer"",
 ""PublisherLink"": null,
 ""MoreInfoLink"": """",
 ""SerialNumber"": ""505cce2283a9feb25686039a8c4e00ed"",
 ""IssuerName"": ""C=US, O=Symantec Corporation, OU=Symantec Trust Network, CN=Symantec Class 3 SHA256 Code Signing CA"",
 ""SubjectName"": ""C=US, ST=California, L=Aliso Viejo, O=Quest Software Inc, OU=IT, CN=Quest Software Inc"",
 ""Timestamp"": null,
 ""Trusted"": ""untrusted (A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.)"",
 ""_ExtraInfo"": null
}",NT AUTHORITY\SYSTEM,46518272,F.CJF43J8QIDK4O.H,C.ea6a16162f67d44f,LACRARU-A1.nete.dnd.ca
3696,868,true,konea.exe,"""C:\Program Files (x86)\Dell\KACE\konea.exe""",C:\Program Files (x86)\Dell\KACE\konea.exe,"{
 ""IsElevated"": true,
 ""Groups"": [
  ""S-1-5-32-544"",
  ""S-1-1-0"",
  ""S-1-5-11"",
  ""S-1-16-16384""
 ],
 ""SID"": ""S-1-5-18"",
 ""Username"": ""NT AUTHORITY\\SYSTEM"",
 ""ProfileDir"": ""C:\\WINDOWS\\system32\\config\\systemprofile"",
 ""PrimaryGroup"": ""S-1-5-18""
}","{
 ""MD5"": ""d0dde4bcf0fc42cb7bbb416fd4e1bfb3"",
 ""SHA1"": ""297f515b6189d5af55da0b2fee2721f2a85b0189"",
 ""SHA256"": ""0e2c7a0f2eddb91cff0658b8a96764431f4ef179702c24353198ec141f1414ee""
}","{
 ""Filename"": ""C:\\Program Files (x86)\\Dell\\KACE\\konea.exe"",
 ""ProgramName"": null,
 ""PublisherLink"": null,
 ""MoreInfoLink"": null,
 ""SerialNumber"": null,
 ""IssuerName"": null,
 ""SubjectName"": null,
 ""Timestamp"": null,
 ""Trusted"": ""untrusted"",
 ""_ExtraInfo"": {
  ""Catalog"": """"
 }
}",NT AUTHORITY\SYSTEM,48128000,F.CJF43J8QIDK4O.H,C.ea6a16162f67d44f,LACRARU-A1.nete.dnd.ca
4252,896,true,AMPWatchDog.exe,"""C:\Program Files (x86)\Dell\KACE\AMPWatchDog.exe""",C:\Program Files (x86)\Dell\KACE\AMPWatchDog.exe,"{
 ""IsElevated"": true,
 ""Groups"": [
  ""S-1-5-32-544"",
  ""S-1-1-0"",
  ""S-1-5-11"",
  ""S-1-16-16384""
 ],
 ""SID"": ""S-1-5-18"",
 ""Username"": ""NT AUTHORITY\\SYSTEM"",
 ""ProfileDir"": ""C:\\WINDOWS\\system32\\config\\systemprofile"",
 ""PrimaryGroup"": ""S-1-5-18""
}","{
 ""MD5"": ""3feb17e276942bf8dcaf2482716028c0"",
 ""SHA1"": ""c5ff6d107287163c64dd0447c9ef9527953ad642"",
 ""SHA256"": ""7c38a470b4837a28317e409a98a691f1afb279940213c136d072810bf808b9bb""
}","{
 ""Filename"": ""C:\\Program Files (x86)\\Dell\\KACE\\AMPWatchDog.exe"",
 ""ProgramName"": ""Quest KACE Agent Installer"",
 ""PublisherLink"": null,
 ""MoreInfoLink"": """",
 ""SerialNumber"": ""505cce2283a9feb25686039a8c4e00ed"",
 ""IssuerName"": ""C=US, O=Symantec Corporation, OU=Symantec Trust Network, CN=Symantec Class 3 SHA256 Code Signing CA"",
 ""SubjectName"": ""C=US, ST=California, L=Aliso Viejo, O=Quest Software Inc, OU=IT, CN=Quest Software Inc"",
 ""Timestamp"": null,
 ""Trusted"": ""untrusted (A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.)"",
 ""_ExtraInfo"": null
}",NT AUTHORITY\SYSTEM,23506944,F.CJF43J8QIDK4O.H,C.49984d08372872ad,CASTONGUAY-S.nete.dnd.ca
4936,896,true,WinZip Compression Smart Monitor Service.exe,"""C:\Program Files\WinZip\WinZip Smart Monitor\WinZip Compression Smart Monitor Service.exe""",C:\Program Files\WinZip\WinZip Smart Monitor\WinZip Compression Smart Monitor Service.exe,"{
 ""IsElevated"": true,
 ""Groups"": [
  ""S-1-5-32-544"",
  ""S-1-1-0"",
  ""S-1-5-11"",
  ""S-1-16-16384""
 ],
 ""SID"": ""S-1-5-18"",
 ""Username"": ""NT AUTHORITY\\SYSTEM"",
 ""ProfileDir"": ""C:\\WINDOWS\\system32\\config\\systemprofile"",
 ""PrimaryGroup"": ""S-1-5-18""
}","{
 ""MD5"": ""327b7c73a4485a178f0861c492a16f8d"",
 ""SHA1"": ""95100f06d878c512ec1b0b559b97069304051c85"",
 ""SHA256"": ""85dffe53dd9cb8643d795982bc3f7dfdc606715c6cd671c8a3f2e4669400c677""
}","{
 ""Filename"": ""C:\\Program Files\\WinZip\\WinZip Smart Monitor\\WinZip Compression Smart Monitor Service.exe"",
 ""ProgramName"": """",
 ""PublisherLink"": null,
 ""MoreInfoLink"": """",
 ""SerialNumber"": ""24a1bd176051ff864d018812f9f2304c"",
 ""IssuerName"": ""C=US, O=Symantec Corporation, OU=Symantec Trust Network, CN=Symantec Class 3 SHA256 Code Signing CA"",
 ""SubjectName"": ""C=CA, ST=Ontario, L=Ottawa, O=Corel Corporation, CN=Corel Corporation"",
 ""Timestamp"": null,
 ""Trusted"": ""untrusted (A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.)"",
 ""_ExtraInfo"": null
}",NT AUTHORITY\SYSTEM,80957440,F.CJF43J8QIDK4O.H,C.49984d08372872ad,CASTONGUAY-S.nete.dnd.ca
14104,896,true,KSchedulerSvc.exe,"""C:\Program Files (x86)\Dell\KACE\KSchedulerSvc.exe""",C:\Program Files (x86)\Dell\KACE\KSchedulerSvc.exe,"{
 ""IsElevated"": true,
 ""Groups"": [
  ""S-1-5-32-544"",
  ""S-1-1-0"",
  ""S-1-5-11"",
  ""S-1-16-16384""
 ],
 ""SID"": ""S-1-5-18"",
 ""Username"": ""NT AUTHORITY\\SYSTEM"",
 ""ProfileDir"": ""C:\\WINDOWS\\system32\\config\\systemprofile"",
 ""PrimaryGroup"": ""S-1-5-18""
}","{
 ""MD5"": ""9f040764ae69595166b04226760ff822"",
 ""SHA1"": ""859089d9bf10b5782da3708c1d33ac58124c4a47"",
 ""SHA256"": ""11a269a64191b31f9080c55e4e61f9ea86c891e2883001784318e4a7e160c4ab""
}","{
 ""Filename"": ""C:\\Program Files (x86)\\Dell\\KACE\\KSchedulerSvc.exe"",
 ""ProgramName"": ""Quest KACE Agent Installer"",
 ""PublisherLink"": null,
 ""MoreInfoLink"": """",
 ""SerialNumber"": ""505cce2283a9feb25686039a8c4e00ed"",
 ""IssuerName"": ""C=US, O=Symantec Corporation, OU=Symantec Trust Network, CN=Symantec Class 3 SHA256 Code Signing CA"",
 ""SubjectName"": ""C=US, ST=California, L=Aliso Viejo, O=Quest Software Inc, OU=IT, CN=Quest Software Inc"",
 ""Timestamp"": null,
 ""Trusted"": ""untrusted (A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.)"",
 ""_ExtraInfo"": null
}",NT AUTHORITY\SYSTEM,46657536,F.CJF43J8QIDK4O.H,C.49984d08372872ad,CASTONGUAY-S.nete.dnd.ca
8072,896,true,konea.exe,"""C:\Program Files (x86)\Dell\KACE\konea.exe""",C:\Program Files (x86)\Dell\KACE\konea.exe,"{
 ""IsElevated"": true,
 ""Groups"": [
  ""S-1-5-32-544"",
  ""S-1-1-0"",
  ""S-1-5-11"",
  ""S-1-16-16384""
 ],
 ""SID"": ""S-1-5-18"",
 ""Username"": ""NT AUTHORITY\\SYSTEM"",
 ""ProfileDir"": ""C:\\WINDOWS\\system32\\config\\systemprofile"",
 ""PrimaryGroup"": ""S-1-5-18""
}","{
 ""MD5"": ""d0dde4bcf0fc42cb7bbb416fd4e1bfb3"",
 ""SHA1"": ""297f515b6189d5af55da0b2fee2721f2a85b0189"",
 ""SHA256"": ""0e2c7a0f2eddb91cff0658b8a96764431f4ef179702c24353198ec141f1414ee""
}","{
 ""Filename"": ""C:\\Program Files (x86)\\Dell\\KACE\\konea.exe"",
 ""ProgramName"": null,
 ""PublisherLink"": null,
 ""MoreInfoLink"": null,
 ""SerialNumber"": null,
 ""IssuerName"": null,
 ""SubjectName"": null,
 ""Timestamp"": null,
 ""Trusted"": ""untrusted"",
 ""_ExtraInfo"": {
  ""Catalog"": """"
 }
}",NT AUTHORITY\SYSTEM,47947776,F.CJF43J8QIDK4O.H,C.49984d08372872ad,CASTONGUAY-S.nete.dnd.ca
3396,72,true,HeciServer.exe,"""C:\Program Files\Intel\iCLS Client\HeciServer.exe""",C:\Program Files\Intel\iCLS Client\HeciServer.exe,"{
 ""IsElevated"": true,
 ""Groups"": [
  ""S-1-5-32-544"",
  ""S-1-1-0"",
  ""S-1-5-11"",
  ""S-1-16-16384""
 ],
 ""SID"": ""S-1-5-18"",
 ""Username"": ""NT AUTHORITY\\SYSTEM"",
 ""ProfileDir"": ""C:\\WINDOWS\\system32\\config\\systemprofile"",
 ""PrimaryGroup"": ""S-1-5-18""
}","{
 ""MD5"": ""c6128f2e3dc6156c6f8828f9f1b96010"",
 ""SHA1"": ""9dd1f9cec9f2d89f2b3f77b5f18ce012c3898a25"",
 ""SHA256"": ""612c1191afb8f69ba5634e8c52bdde608f57d98fa4c76c5a337676a5f1e8191d""
}","{
 ""Filename"": ""C:\\Program Files\\Intel\\iCLS Client\\HeciServer.exe"",
 ""ProgramName"": null,
 ""PublisherLink"": null,
 ""MoreInfoLink"": null,
 ""SerialNumber"": null,
 ""IssuerName"": null,
 ""SubjectName"": null,
 ""Timestamp"": null,
 ""Trusted"": ""untrusted"",
 ""_ExtraInfo"": {
  ""Catalog"": """"
 }
}",NT AUTHORITY\SYSTEM,47501312,F.CJF43J8QIDK4O.H,C.734a3a995484c184,DINCULESCU-C.nete.dnd.ca
3816,72,true,AMPWatchDog.exe,"""C:\Program Files (x86)\Dell\KACE\AMPWatchDog.exe""",C:\Program Files (x86)\Dell\KACE\AMPWatchDog.exe,"{
 ""IsElevated"": true,
 ""Groups"": [
  ""S-1-5-32-544"",
  ""S-1-1-0"",
  ""S-1-5-11"",
  ""S-1-16-16384""
 ],
 ""SID"": ""S-1-5-18"",
 ""Username"": ""NT AUTHORITY\\SYSTEM"",
 ""ProfileDir"": ""C:\\WINDOWS\\system32\\config\\systemprofile"",
 ""PrimaryGroup"": ""S-1-5-18""
}","{
 ""MD5"": ""3feb17e276942bf8dcaf2482716028c0"",
 ""SHA1"": ""c5ff6d107287163c64dd0447c9ef9527953ad642"",
 ""SHA256"": ""7c38a470b4837a28317e409a98a691f1afb279940213c136d072810bf808b9bb""
}","{
 ""Filename"": ""C:\\Program Files (x86)\\Dell\\KACE\\AMPWatchDog.exe"",
 ""ProgramName"": ""Quest KACE Agent Installer"",
 ""PublisherLink"": null,
 ""MoreInfoLink"": """",
 ""SerialNumber"": ""505cce2283a9feb25686039a8c4e00ed"",
 ""IssuerName"": ""C=US, O=Symantec Corporation, OU=Symantec Trust Network, CN=Symantec Class 3 SHA256 Code Signing CA"",
 ""SubjectName"": ""C=US, ST=California, L=Aliso Viejo, O=Quest Software Inc, OU=IT, CN=Quest Software Inc"",
 ""Timestamp"": null,
 ""Trusted"": ""untrusted (A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.)"",
 ""_ExtraInfo"": null
}",NT AUTHORITY\SYSTEM,21553152,F.CJF43J8QIDK4O.H,C.734a3a995484c184,DINCULESCU-C.nete.dnd.ca
2692,72,true,KSchedulerSvc.exe,"""C:\Program Files (x86)\Dell\KACE\KSchedulerSvc.exe""",C:\Program Files (x86)\Dell\KACE\KSchedulerSvc.exe,"{
 ""IsElevated"": true,
 ""Groups"": [
  ""S-1-5-32-544"",
  ""S-1-1-0"",
  ""S-1-5-11"",
  ""S-1-16-16384""
 ],
 ""SID"": ""S-1-5-18"",
 ""Username"": ""NT AUTHORITY\\SYSTEM"",
 ""ProfileDir"": ""C:\\WINDOWS\\system32\\config\\systemprofile"",
 ""PrimaryGroup"": ""S-1-5-18""
}","{
 ""MD5"": ""9f040764ae69595166b04226760ff822"",
 ""SHA1"": ""859089d9bf10b5782da3708c1d33ac58124c4a47"",
 ""SHA256"": ""11a269a64191b31f9080c55e4e61f9ea86c891e2883001784318e4a7e160c4ab""
}","{
 ""Filename"": ""C:\\Program Files (x86)\\Dell\\KACE\\KSchedulerSvc.exe"",
 ""ProgramName"": ""Quest KACE Agent Installer"",
 ""PublisherLink"": null,
 ""MoreInfoLink"": """",
 ""SerialNumber"": ""505cce2283a9feb25686039a8c4e00ed"",
 ""IssuerName"": ""C=US, O=Symantec Corporation, OU=Symantec Trust Network, CN=Symantec Class 3 SHA256 Code Signing CA"",
 ""SubjectName"": ""C=US, ST=California, L=Aliso Viejo, O=Quest Software Inc, OU=IT, CN=Quest Software Inc"",
 ""Timestamp"": null,
 ""Trusted"": ""untrusted (A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.)"",
 ""_ExtraInfo"": null
}",NT AUTHORITY\SYSTEM,46424064,F.CJF43J8QIDK4O.H,C.734a3a995484c184,DINCULESCU-C.nete.dnd.ca
6288,72,true,konea.exe,"""C:\Program Files (x86)\Dell\KACE\konea.exe""",C:\Program Files (x86)\Dell\KACE\konea.exe,"{
 ""IsElevated"": true,
 ""Groups"": [
  ""S-1-5-32-544"",
  ""S-1-1-0"",
  ""S-1-5-11"",
  ""S-1-16-16384""
 ],
 ""SID"": ""S-1-5-18"",
 ""Username"": ""NT AUTHORITY\\SYSTEM"",
 ""ProfileDir"": ""C:\\WINDOWS\\system32\\config\\systemprofile"",
 ""PrimaryGroup"": ""S-1-5-18""
}","{
 ""MD5"": ""d0dde4bcf0fc42cb7bbb416fd4e1bfb3"",
 ""SHA1"": ""297f515b6189d5af55da0b2fee2721f2a85b0189"",
 ""SHA256"": ""0e2c7a0f2eddb91cff0658b8a96764431f4ef179702c24353198ec141f1414ee""
}","{
 ""Filename"": ""C:\\Program Files (x86)\\Dell\\KACE\\konea.exe"",
 ""ProgramName"": null,
 ""PublisherLink"": null,
 ""MoreInfoLink"": null,
 ""SerialNumber"": null,
 ""IssuerName"": null,
 ""SubjectName"": null,
 ""Timestamp"": null,
 ""Trusted"": ""untrusted"",
 ""_ExtraInfo"": {
  ""Catalog"": """"
 }
}",NT AUTHORITY\SYSTEM,46501888,F.CJF43J8QIDK4O.H,C.734a3a995484c184,DINCULESCU-C.nete.dnd.ca
8472,968,true,ExpressConnectNetworkService.exe,"""C:\Program Files\ExpressConnect\ExpressConnectNetworkService.exe""",C:\Program Files\ExpressConnect\ExpressConnectNetworkService.exe,"{
 ""IsElevated"": true,
 ""Groups"": [
  ""S-1-5-32-544"",
  ""S-1-1-0"",
  ""S-1-5-11"",
  ""S-1-16-16384""
 ],
 ""SID"": ""S-1-5-18"",
 ""Username"": ""NT AUTHORITY\\SYSTEM"",
 ""ProfileDir"": ""C:\\WINDOWS\\system32\\config\\systemprofile"",
 ""PrimaryGroup"": ""S-1-5-18""
}","{
 ""MD5"": ""a90758e0cbfd25a06c1de4616f84a6fb"",
 ""SHA1"": ""d48e5c525efe2c8d92351f29cca245ec60d36823"",
 ""SHA256"": ""9aee0d53ac827a01f9a88f41449bbe534e67184b75a92fd6a9da29cebc3650de""
}","{
 ""Filename"": ""C:\\Program Files\\ExpressConnect\\ExpressConnectNetworkService.exe"",
 ""ProgramName"": null,
 ""PublisherLink"": null,
 ""MoreInfoLink"": null,
 ""SerialNumber"": null,
 ""IssuerName"": null,
 ""SubjectName"": null,
 ""Timestamp"": null,
 ""Trusted"": ""untrusted"",
 ""_ExtraInfo"": {
  ""Catalog"": """"
 }
}",NT AUTHORITY\SYSTEM,68345856,F.CJF43J8QIDK4O.H,C.56a068ea907116b3,GARAGE1A.nete.dnd.ca
4464,968,true,ExpressConnectService.exe,"""C:\Program Files\ExpressConnect\ExpressConnectService.exe""",C:\Program Files\ExpressConnect\ExpressConnectService.exe,"{
 ""IsElevated"": true,
 ""Groups"": [
  ""S-1-5-32-544"",
  ""S-1-1-0"",
  ""S-1-5-11"",
  ""S-1-16-16384""
 ],
 ""SID"": ""S-1-5-18"",
 ""Username"": ""NT AUTHORITY\\SYSTEM"",
 ""ProfileDir"": ""C:\\WINDOWS\\system32\\config\\systemprofile"",
 ""PrimaryGroup"": ""S-1-5-18""
}","{
 ""MD5"": ""ae76f7c8f6b07ce597a65e8a83f9ed38"",
 ""SHA1"": ""ddbfef2d58e8cf3fe40b3f1e759579a093f71cd4"",
 ""SHA256"": ""3e0d02d7a49626115268d55cf5e0be182ebeec2b11efcbab78ac5577df516965""
}","{
 ""Filename"": ""C:\\Program Files\\ExpressConnect\\ExpressConnectService.exe"",
 ""ProgramName"": null,
 ""PublisherLink"": null,
 ""MoreInfoLink"": null,
 ""SerialNumber"": null,
 ""IssuerName"": null,
 ""SubjectName"": null,
 ""Timestamp"": null,
 ""Trusted"": ""untrusted"",
 ""_ExtraInfo"": {
  ""Catalog"": """"
 }
}",NT AUTHORITY\SYSTEM,108253184,F.CJF43J8QIDK4O.H,C.56a068ea907116b3,GARAGE1A.nete.dnd.ca
